			GMRT Grid Version 4.2.1
Longitude	Latitude	Distance (km)	Elevation (m)
18.15	-63.37	2391.7837	-5139.15
18.05	-63.42	2399.0535	-5121.6836
17.96	-63.47	2406.3232	-5091.316
17.87	-63.52	2413.593	-5074.749
17.78	-63.57	2420.8628	-5112.5645
17.68	-63.62	2428.1326	-5164.9785
17.59	-63.67	2435.4023	-5152.015
17.49	-63.72	2442.672	-5055.2505
17.40	-63.77	2449.942	-5039.296
17.31	-63.82	2457.2117	-5059.129
17.21	-63.87	2464.4814	-5060.0503
17.11	-63.92	2471.7512	-5062.719
17.02	-63.97	2479.021	-5003.407
16.92	-64.02	2486.2908	-4883.475
16.83	-64.07	2493.5605	-4841.654
16.73	-64.12	2500.8303	-4878.903
16.63	-64.17	2508.1	-4820.2437
16.53	-64.22	2515.3699	-4868.4624
16.44	-64.27	2522.6396	-4874.84
16.34	-64.32	2529.9094	-4837.036
16.24	-64.37	2537.1792	-4842.01
16.14	-64.42	2544.449	-4862.8086
16.04	-64.47	2551.7188	-4834.3667
15.94	-64.52	2558.9885	-4889.388
15.84	-64.57	2566.2583	-4705.873
15.74	-64.62	2573.528	-4472.431
15.64	-64.66	2580.7979	-4467.3906
15.54	-64.71	2588.0676	-4367.4907
15.44	-64.76	2595.3374	-4239.1875
15.33	-64.81	2602.6072	-4231.4844
15.23	-64.86	2609.877	-4158.8037
15.13	-64.91	2617.1467	-4031.1233
15.03	-64.96	2624.4165	-3926.0518
14.92	-65.01	2631.6863	-3885.7654
14.82	-65.06	2638.956	-3777.6936
14.72	-65.10	2646.2258	-3355.086
14.61	-65.15	2653.4956	-3293.2026
14.51	-65.20	2660.7654	-3343.8984
